drill,hole,duration_pct,mic_ultrasonic,mic_reg,human_severity_score
drill_4mm_04,1,1.92,normal,normal,0
drill_4mm_04,2,3.85,normal,normal,0
drill_4mm_04,3,5.77,guizo fraco no final,começo do guizo,1
drill_4mm_04,4,7.69,guizo fraco no final,guizo fraco,1
drill_4mm_04,5,9.62,guizo fraco no final,guizo fraco,1
drill_4mm_04,6,11.54,guizo fraco no final,guizo fraco,1
drill_4mm_04,7,13.46,guizo no final,guizo,1
drill_4mm_04,8,15.38,guizo no final,guizo,1
drill_4mm_04,9,17.31,guizo no final,guizo,1
drill_4mm_04,10,19.23,guizo no final,guizo,1
drill_4mm_04,11,21.15,guizo no final,guizo,1
drill_4mm_04,12,23.08,guizo no final,guizo fraco,1
drill_4mm_04,13,25.0,guizo um pouco mais forte no final,guizo,1
drill_4mm_04,14,26.92,guizo um pouco mais forte no final,guizo,1
drill_4mm_04,15,28.85,guizo no final,guizo,1
drill_4mm_04,16,30.77,guizo um pouco mais forte no final,guizo fraco,1
drill_4mm_04,17,32.69,guizo fraco no final,guizo fraco,1
drill_4mm_04,18,34.62,guizo fraco no final,guizo fraco,1
drill_4mm_04,19,36.54,guizo no final,guizo,1
drill_4mm_04,20,38.46,guizo fraco no final,normal,1
drill_4mm_04,21,40.38,guizo no final,guizo,1
drill_4mm_04,22,42.31,guizo fraco no final,guizo fraco,1
drill_4mm_04,23,44.23,guizo fraco no final,guizo fraco,1
drill_4mm_04,24,46.15,guizo fraco no final,guizo fraco,1
drill_4mm_04,25,48.08,guizo fraco no final,guizo fraco,1
drill_4mm_04,26,50.0,guizo no final,guizo fraco,2
drill_4mm_04,27,51.92,guizo fraco no final,guizo fraco,2
drill_4mm_04,28,53.85,guizo fraco no final,guizo fraco,2
drill_4mm_04,29,55.77,guizo um pouco mais forte no final,guizo fraco,2
drill_4mm_04,30,57.69,guizo um pouco mais forte no final,guizo,2
drill_4mm_04,31,59.62,guizo um pouco mais forte no final,guizo,2
drill_4mm_04,32,61.54,guizo no final,guizo,2
drill_4mm_04,33,63.46,guizo no final,guizo,2
drill_4mm_04,34,65.38,guizo um pouco mais forte no final,guizo,2
drill_4mm_04,35,67.31,guizo no final,guizo,2
drill_4mm_04,36,69.23,guizo forte no final,guizo,2
drill_4mm_04,37,71.15,guizo um pouco mais forte no final,guizo,2
drill_4mm_04,38,73.08,guizo forte no final,guizo,2
drill_4mm_04,39,75.0,guizo + travou,guizo + travou,3
drill_4mm_04,40,76.92,guizo no final,guizo,2
drill_4mm_04,41,78.85,guizo fraco no final,guizo fraco,2
drill_4mm_04,42,80.77,guizo forte no final,guizo fraco,2
drill_4mm_04,43,82.69,guizo forte no final,guizo,2
drill_4mm_04,44,84.62,guizo forte no final,guizo,2
drill_4mm_04,45,86.54,guizo muito forte no final,guizo,2
drill_4mm_04,46,88.46,guizo muito forte no final,guizo,2
drill_4mm_04,47,90.38,parece rádio,parece rádio,2
drill_4mm_04,48,92.31,parece rádio,parece rádio,2
drill_4mm_04,49,94.23,guizo + travou,guizo + travou,3
drill_4mm_04,50,96.15,parece rádio,parece rádio,2
drill_4mm_04,51,98.08,parece rádio,parece rádio,2
drill_4mm_04,52,100.0,guizo + travou,guizo + travou,3
drill_4mm_14,1,4.55,furo normal,furo normal,0
drill_4mm_14,2,9.09,furo normal,furo normal,0
drill_4mm_14,3,13.64,furo normal,furo normal,0
drill_4mm_14,4,18.18,começo do guiso,começo do guiso,1
drill_4mm_14,5,22.73,guiso,guiso,1
drill_4mm_14,6,27.27,guiso,guiso,1
drill_4mm_14,7,31.82,guiso,guiso,1
drill_4mm_14,8,36.36,guiso,guiso,1
drill_4mm_14,9,40.91,guiso,guiso,1
drill_4mm_14,10,45.45,guiso,guiso,1
drill_4mm_14,11,50.0,guiso,guiso,2
drill_4mm_14,12,54.55,guiso,guiso,2
drill_4mm_14,13,59.09,guiso + travou,travou,3
drill_4mm_14,14,63.64,guiso,guiso,2
drill_4mm_14,15,68.18,guiso,guiso,2
drill_4mm_14,16,72.73,guiso,guiso,2
drill_4mm_14,17,77.27,parece radio,parece radio,2
drill_4mm_14,18,81.82,parece radio,parece radio,2
drill_4mm_14,19,86.36,parece radio,parece radio,2
drill_4mm_14,20,90.91,parece radio,parece radio,2
drill_4mm_14,21,95.45,guiso + travou,travou,3
drill_4mm_14,22,100.0,guiso + travou,travou,3
drill_4mm_15,1,2.22,furo normal,furo normal,0
drill_4mm_15,2,4.44,começo do guiso,começo do guiso,1
drill_4mm_15,3,6.67,guiso fraco,guiso,1
drill_4mm_15,4,8.89,guiso + travou,travou,3
drill_4mm_15,5,11.11,guiso,guiso,1
drill_4mm_15,6,13.33,guiso,guiso,1
drill_4mm_15,7,15.56,guiso + travou,travou,3
drill_4mm_15,8,17.78,guiso,guiso,1
drill_4mm_15,9,20.0,guiso + travou,travou,3
drill_4mm_15,10,22.22,guiso,guiso,1
drill_4mm_15,11,24.44,guiso,guiso,1
drill_4mm_15,12,26.67,guiso,guiso,1
drill_4mm_15,13,28.89,guiso,guiso,1
drill_4mm_15,14,31.11,guiso + travou,travou,3
drill_4mm_15,15,33.33,guiso,guiso,1
drill_4mm_15,16,35.56,guiso,guiso,1
drill_4mm_15,17,37.78,guiso,guiso,1
drill_4mm_15,18,40.0,parece radio,parece radio,2
drill_4mm_15,19,42.22,parece radio,parece radio,2
drill_4mm_15,20,44.44,parece radio,parece radio,2
drill_4mm_15,21,46.67,parece radio,parece radio,2
drill_4mm_15,22,48.89,parece radio,parece radio,2
drill_4mm_15,23,51.11,parece radio,parece radio,2
drill_4mm_15,24,53.33,parece radio,parece radio,2
drill_4mm_15,25,55.56,parece radio,parece radio,2
drill_4mm_15,26,57.78,parece radio,parece radio,2
drill_4mm_15,27,60.0,parece radio,parece radio,2
drill_4mm_15,28,62.22,parece radio,parece radio,2
drill_4mm_15,29,64.44,parece radio,parece radio,2
drill_4mm_15,30,66.67,parece radio,parece radio,2
drill_4mm_15,31,68.89,guiso + travou,travou,3
drill_4mm_15,32,71.11,guiso,parece radio,2
drill_4mm_15,33,73.33,guiso,parece radio,2
drill_4mm_15,34,75.56,guiso,parece radio,2
drill_4mm_15,35,77.78,guiso,parece radio,2
drill_4mm_15,36,80.0,parece radio,parece radio,2
drill_4mm_15,37,82.22,guiso + travou,travou,3
drill_4mm_15,38,84.44,parece radio,parece radio,2
drill_4mm_15,39,86.67,guiso + travou,travou,3
drill_4mm_15,40,88.89,parece radio,parece radio,2
drill_4mm_15,41,91.11,parece radio,parece radio,2
drill_4mm_15,42,93.33,parece radio,parece radio,2
drill_4mm_15,43,95.56,guiso + travou,travou,3
drill_4mm_15,44,97.78,parece radio,parece radio,2
drill_4mm_15,45,100.0,guiso + travou,travou,3
drill_4mm_16,1,2.44,furo normal,furo normal,0
drill_4mm_16,2,4.88,furo normal,furo normal,0
drill_4mm_16,3,7.32,guizo,guizo,1
drill_4mm_16,4,9.76,guizo,guizo,1
drill_4mm_16,5,12.2,guizo,guizo,1
drill_4mm_16,6,14.63,guizo,guizo,1
drill_4mm_16,7,17.07,travou,travou,3
drill_4mm_16,8,19.51,guizo,guizo,1
drill_4mm_16,9,21.95,guizo,guizo,1
drill_4mm_16,10,24.39,guizo,guizo,1
drill_4mm_16,11,26.83,guizo,guizo,1
drill_4mm_16,12,29.27,guizo,guizo,1
drill_4mm_16,13,31.71,guizo,guizo,1
drill_4mm_16,14,34.15,travou,travou,3
drill_4mm_16,15,36.59,chiado,guizo,2
drill_4mm_16,16,39.02,guizo,guizo,1
drill_4mm_16,17,41.46,travou,travou,3
drill_4mm_16,18,43.9,chiado,guizo,2
drill_4mm_16,19,46.34,guizo,guizo,1
drill_4mm_16,20,48.78,chiado,guizo,2
drill_4mm_16,21,51.22,chiado,guizo,2
drill_4mm_16,22,53.66,chiado,guizo,2
drill_4mm_16,23,56.1,chiado,guizo,2
drill_4mm_16,24,58.54,chiado,guizo,2
drill_4mm_16,25,60.98,chiado,guizo,2
drill_4mm_16,26,63.41,chiado,guizo,2
drill_4mm_16,27,65.85,chiado,guizo,2
drill_4mm_16,28,68.29,chiado,guizo,2
drill_4mm_16,29,70.73,travou,travou,3
drill_4mm_16,30,73.17,chiado,guizo,2
drill_4mm_16,31,75.61,guizo,guizo,2
drill_4mm_16,32,78.05,chiado,guizo,2
drill_4mm_16,33,80.49,travou,travou,3
drill_4mm_16,34,82.93,chiado,guizo,2
drill_4mm_16,35,85.37,guizo,guizo,2
drill_4mm_16,36,87.8,chiado,guizo,2
drill_4mm_16,37,90.24,chiado,guizo,2
drill_4mm_16,38,92.68,travou,travou,3
drill_4mm_16,39,95.12,travou,travou,3
drill_4mm_16,40,97.56,guizo,guizo,2
drill_4mm_16,41,100.0,guizo,guizo,2
drill_4mm_17,1,5.0,travou,travou,3
drill_4mm_17,2,10.0,furo normal,furo normal,0
drill_4mm_17,3,15.0,começo do guizo,começo do guizo,1
drill_4mm_17,4,20.0,guizo,guizo,1
drill_4mm_17,5,25.0,guizo,guizo,1
drill_4mm_17,6,30.0,guizo,guizo,1
drill_4mm_17,7,35.0,guizo,guizo,1
drill_4mm_17,8,40.0,guizo,guizo,1
drill_4mm_17,9,45.0,travou,travou,3
drill_4mm_17,10,50.0,guizo,guizo,2
drill_4mm_17,11,55.0,guizo,guizo,2
drill_4mm_17,12,60.0,guizo,guizo,2
drill_4mm_17,13,65.0,travou,travou,3
drill_4mm_17,14,70.0,travou,travou,3
drill_4mm_17,15,75.0,guizo,guizo,2
drill_4mm_17,16,80.0,travou,travou,3
drill_4mm_17,17,85.0,guizo,guizo,2
drill_4mm_17,18,90.0,parece radio,parece rádio,2
drill_4mm_17,19,95.0,parece radio,parece rádio,2
drill_4mm_17,20,100.0,travou,travou,3
drill_4mm_18,1,1.22,furo normal,furo normal,0
drill_4mm_18,2,2.44,furo normal,furo normal,0
drill_4mm_18,3,3.66,travou,travou,3
drill_4mm_18,4,4.88,furo normal,furo normal,0
drill_4mm_18,5,6.1,furo normal,furo normal,0
drill_4mm_18,6,7.32,furo normal,furo normal,0
drill_4mm_18,7,8.54,furo normal,furo normal,0
drill_4mm_18,8,9.76,furo normal,furo normal,0
drill_4mm_18,9,10.98,furo normal,furo normal,0
drill_4mm_18,10,12.2,furo normal,furo normal,0
drill_4mm_18,11,13.41,chiado,furo normal,2
drill_4mm_18,12,14.63,guizo,começo do guizo,1
drill_4mm_18,13,15.85,furo normal,furo normal,0
drill_4mm_18,14,17.07,furo normal,furo normal,0
drill_4mm_18,15,18.29,guizo,guizo,1
drill_4mm_18,16,19.51,guizo,guizo,1
drill_4mm_18,17,20.73,guizo,guizo,1
drill_4mm_18,18,21.95,guizo,guizo,1
drill_4mm_18,19,23.17,guizo,guizo,1
drill_4mm_18,20,24.39,guizo,guizo,1
drill_4mm_18,21,25.61,guizo,guizo,1
drill_4mm_18,22,26.83,guizo,guizo,1
drill_4mm_18,23,28.05,guizo,guizo,1
drill_4mm_18,24,29.27,guizo,guizo,1
drill_4mm_18,25,30.49,guizo,guizo,1
drill_4mm_18,26,31.71,guizo,guizo,1
drill_4mm_18,27,32.93,guizo,guizo,1
drill_4mm_18,28,34.15,guizo,guizo,1
drill_4mm_18,29,35.37,parece chiado,guizo,2
drill_4mm_18,30,36.59,parece chiado,guizo,2
drill_4mm_18,31,37.8,guizo,guizo,1
drill_4mm_18,32,39.02,guizo,guizo,1
drill_4mm_18,33,40.24,parece chiado,guizo,2
drill_4mm_18,34,41.46,guizo,guizo,1
drill_4mm_18,35,42.68,parece chiado,guizo,2
drill_4mm_18,36,43.9,parece chiado,guizo,2
drill_4mm_18,37,45.12,chiado,parece chiado,2
