drill,hole,mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_04_batch_00_collet_1_30-01-2025,1,0.00019361211,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,2,5.806734e-05,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,3,0.010578783,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,4,0.01154825,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,5,0.00021411052,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,6,1.3740798,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,7,2.2863042,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,8,4.7734747,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,9,3.5505834,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,10,4.1079993,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,11,5.1723576,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,12,6.536004,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,13,9.445425,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,14,7.7515635,0.011528861,0.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,15,8.153028,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,16,14.047579,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,17,16.595148,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,18,18.946316,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,19,20.210363,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,20,15.191566,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,21,17.563917,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,22,14.254658,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,23,13.056895,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,24,11.944,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,25,12.8908,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,26,11.060451,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,27,13.769856,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,28,15.118975,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,29,14.275251,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,30,12.454521,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,31,2.8651538,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,32,1.6724895,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,33,2.6276102,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,34,1.1764975,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,35,2.419588,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,36,2.2112317,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,37,5.917071,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,38,6.3212433,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,39,16.974926,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,40,5.8029494,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,41,7.2836647,0.011528861,1.0,0,36
drill_4mm_04_batch_00_collet_1_30-01-2025,42,9.316383,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,43,8.952245,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,44,12.004953,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,45,13.216855,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,46,14.290011,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,47,21.756348,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,48,24.430359,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,49,34.359337,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,50,24.250996,0.011528861,1.0,1,36
drill_4mm_04_batch_00_collet_1_30-01-2025,51,20.449606,0.011528861,1.0,1,36
drill_4mm_05_batch_00_collet_1_30-01-2025,1,0.00037312793,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,2,0.0009173619,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,3,0.005295793,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,4,0.0060585765,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,5,8.809114e-05,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,6,0.85937536,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,7,0.85187787,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,8,1.5239438,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,9,2.6783993,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,10,4.526793,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,11,3.081477,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,12,4.701283,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,13,4.432012,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,14,5.077402,0.006043321,0.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,15,4.6775184,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,16,6.7161202,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,17,8.097812,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,18,5.726218,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,19,6.334105,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,20,6.462698,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,21,6.912226,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,22,8.192311,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,23,3.8053684,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,24,8.091531,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,25,6.663391,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,26,4.2070475,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,27,6.53981,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,28,5.2828197,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,29,9.557085,0.006043321,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,30,7.2327538,0.006043321,1.0,0,91
