drill,hole,hybrid_mse,prediction,label
drill_4mm_04,1,1.5731582607259043e-05,0,0
drill_4mm_04,2,4.549297227640636e-05,0,0
drill_4mm_04,3,0.004695237148553133,0,0
drill_4mm_04,4,0.000352120230672881,0,0
drill_4mm_04,5,0.0005142063600942492,0,0
drill_4mm_04,6,0.965927004814148,0,0
drill_4mm_04,7,2.8073294162750244,0,0
drill_4mm_04,8,3.8770458698272705,0,0
drill_4mm_04,9,3.546908140182495,0,0
drill_4mm_04,10,2.9546520709991455,0,0
drill_4mm_04,11,6.0511794090271,0,0
drill_4mm_04,12,7.3832550048828125,0,0
drill_4mm_04,13,10.509394645690918,0,0
drill_4mm_04,14,9.987096786499023,0,0
drill_4mm_04,15,9.045872688293457,1,0
drill_4mm_04,16,11.133411407470703,1,0
drill_4mm_04,17,14.651469230651855,1,0
drill_4mm_04,18,14.054110527038574,1,0
drill_4mm_04,19,17.458843231201172,1,0
drill_4mm_04,20,14.572970390319824,1,0
drill_4mm_04,21,13.876270294189453,1,0
drill_4mm_04,22,12.271687507629395,1,0
drill_4mm_04,23,13.381103515625,1,0
drill_4mm_04,24,12.348207473754883,1,0
drill_4mm_04,25,10.468658447265625,1,0
drill_4mm_04,26,9.11932373046875,1,0
drill_4mm_04,27,11.236103057861328,1,0
drill_4mm_04,28,11.932652473449707,1,0
drill_4mm_04,29,9.123337745666504,1,0
drill_4mm_04,30,13.036465644836426,1,0
drill_4mm_04,31,3.6152172088623047,1,0
drill_4mm_04,32,1.9560796022415161,1,0
drill_4mm_04,33,2.9371063709259033,1,0
drill_4mm_04,34,1.809281349182129,1,0
drill_4mm_04,35,2.716953754425049,1,0
drill_4mm_04,36,1.9672460556030273,1,0
drill_4mm_04,37,4.9933061599731445,1,0
drill_4mm_04,38,6.5409088134765625,1,0
drill_4mm_04,39,26.394304275512695,1,0
drill_4mm_04,40,6.522348403930664,1,0
drill_4mm_04,41,6.827986240386963,1,0
drill_4mm_04,42,8.250734329223633,1,1
drill_4mm_04,43,10.071711540222168,1,1
drill_4mm_04,44,13.194835662841797,1,1
drill_4mm_04,45,13.04283618927002,1,1
drill_4mm_04,46,11.941375732421875,1,1
drill_4mm_04,47,16.010513305664062,1,1
drill_4mm_04,48,15.888580322265625,1,1
