drill,hole,hybrid_mse,prediction,label
drill_4mm_04,1,0.00017844124522525817,0,0
drill_4mm_04,2,0.0016151700401678681,0,0
drill_4mm_04,3,0.0013070345157757401,0,0
drill_4mm_04,4,0.004470009356737137,0,0
drill_4mm_04,5,0.0014386276016011834,0,0
drill_4mm_04,6,0.7960339784622192,0,0
drill_4mm_04,7,4.652135372161865,0,0
drill_4mm_04,8,4.74652624130249,0,0
drill_4mm_04,9,7.033017635345459,0,0
drill_4mm_04,10,5.0116987228393555,0,0
drill_4mm_04,11,11.82994556427002,0,0
drill_4mm_04,12,13.361666679382324,0,0
drill_4mm_04,13,14.84168529510498,0,0
drill_4mm_04,14,17.86008644104004,0,0
drill_4mm_04,15,17.254030227661133,1,0
drill_4mm_04,16,20.561595916748047,1,0
drill_4mm_04,17,23.7101993560791,1,0
drill_4mm_04,18,19.692312240600586,1,0
drill_4mm_04,19,24.10810661315918,1,0
drill_4mm_04,20,21.478397369384766,1,0
drill_4mm_04,21,21.050439834594727,1,0
drill_4mm_04,22,16.364248275756836,1,0
drill_4mm_04,23,17.962900161743164,1,0
drill_4mm_04,24,16.01667594909668,1,0
drill_4mm_04,25,13.018531799316406,1,0
drill_4mm_04,26,13.338756561279297,1,0
drill_4mm_04,27,14.250962257385254,1,0
drill_4mm_04,28,16.118061065673828,1,0
drill_4mm_04,29,10.825617790222168,1,0
drill_4mm_04,30,17.76852798461914,1,0
drill_4mm_04,31,4.013944149017334,1,0
drill_4mm_04,32,2.34277081489563,1,0
drill_4mm_04,33,3.6537039279937744,1,0
drill_4mm_04,34,2.161299467086792,1,0
drill_4mm_04,35,2.4823665618896484,1,0
drill_4mm_04,36,2.1513442993164062,1,0
drill_4mm_04,37,4.6284661293029785,1,0
drill_4mm_04,38,8.09208869934082,1,0
drill_4mm_04,39,35.60553741455078,1,0
drill_4mm_04,40,9.120782852172852,1,0
drill_4mm_04,41,9.8582763671875,1,0
drill_4mm_04,42,13.10432243347168,1,1
drill_4mm_04,43,16.38657569885254,1,1
drill_4mm_04,44,21.927349090576172,1,1
drill_4mm_04,45,17.77005958557129,1,1
drill_4mm_04,46,18.960031509399414,1,1
drill_4mm_04,47,22.434505462646484,1,1
drill_4mm_04,48,16.80201530456543,1,1
drill_4mm_04,49,42.89167785644531,1,1
drill_4mm_04,50,18.814809799194336,1,1
drill_4mm_04,51,17.632028579711914,1,1
drill_4mm_05,1,8.275097934529185e-05,0,0
drill_4mm_05,2,0.0007861803169362247,0,0
drill_4mm_05,3,0.005842868704348803,0,0
drill_4mm_05,4,0.0010357246501371264,0,0
drill_4mm_05,5,0.0001745845947880298,0,0
drill_4mm_05,6,0.5591714382171631,0,0
drill_4mm_05,7,0.9448810815811157,0,0
drill_4mm_05,8,1.44565749168396,0,0
drill_4mm_05,9,1.874909520149231,0,0
drill_4mm_05,10,1.4628660678863525,0,0
drill_4mm_05,11,3.0188374519348145,0,0
drill_4mm_05,12,2.3603553771972656,0,0
drill_4mm_05,13,7.514883995056152,0,0
drill_4mm_05,14,8.160926818847656,0,0
drill_4mm_05,15,12.538222312927246,1,0
drill_4mm_05,16,17.443912506103516,1,0
drill_4mm_05,17,11.075939178466797,1,0
drill_4mm_05,18,10.05319595336914,1,0
drill_4mm_05,19,8.204140663146973,1,0
drill_4mm_05,20,11.297374725341797,1,0
drill_4mm_05,21,17.69374656677246,1,0
drill_4mm_05,22,10.208870887756348,1,0
drill_4mm_05,23,9.269129753112793,1,0
drill_4mm_05,24,12.555513381958008,1,0
drill_4mm_05,25,8.203227043151855,1,0
