drill,hole,hybrid_mse,prediction,label
drill_4mm_04,1,0.0,0,0
drill_4mm_04,2,0.0,0,0
drill_4mm_04,3,0.0,0,0
drill_4mm_04,4,0.0,0,0
drill_4mm_04,5,0.0,0,0
drill_4mm_04,6,0.0,0,0
drill_4mm_04,7,0.0,0,0
drill_4mm_04,8,0.0,0,0
drill_4mm_04,9,0.0,0,0
drill_4mm_04,10,1.4719204902648926,0,0
drill_4mm_04,11,2.0606448650360107,0,0
drill_4mm_04,12,2.8012492656707764,0,0
drill_4mm_04,13,4.666831970214844,0,0
drill_4mm_04,14,4.954929828643799,0,0
drill_4mm_04,15,6.012220859527588,0,0
drill_4mm_04,16,7.169072151184082,0,0
drill_4mm_04,17,7.5295586585998535,0,0
drill_4mm_04,18,8.690342903137207,1,0
drill_4mm_04,19,11.4834623336792,1,0
drill_4mm_04,20,15.740153312683105,1,0
drill_4mm_04,21,16.508827209472656,1,0
drill_4mm_04,22,21.124483108520508,1,0
drill_4mm_04,23,23.181028366088867,1,0
drill_4mm_04,24,20.935514450073242,1,0
drill_4mm_04,25,19.607440948486328,1,0
drill_4mm_04,26,23.369131088256836,1,0
drill_4mm_04,27,24.0599422454834,1,0
drill_4mm_04,28,22.268747329711914,1,0
drill_4mm_04,29,23.323945999145508,1,0
drill_4mm_04,30,18.32445526123047,1,0
drill_4mm_04,31,22.273120880126953,1,0
drill_4mm_04,32,19.765092849731445,1,0
drill_4mm_04,33,24.072263717651367,1,0
drill_4mm_04,34,14.502202033996582,1,0
drill_4mm_04,35,12.17243766784668,1,0
drill_4mm_04,36,6.8880696296691895,1,0
drill_4mm_04,37,6.143226623535156,1,0
drill_4mm_04,38,4.789621353149414,1,0
drill_4mm_04,39,5.189614295959473,1,0
drill_4mm_04,40,4.538187503814697,1,0
drill_4mm_04,41,8.507963180541992,1,0
drill_4mm_04,42,6.902507305145264,1,1
drill_4mm_04,43,11.477445602416992,1,1
drill_4mm_04,44,11.890674591064453,1,1
drill_4mm_04,45,15.026440620422363,1,1
drill_4mm_04,46,21.980518341064453,1,1
