drill,hole,hybrid_mse,prediction,label
drill_4mm_04,1,0.0,0,0
drill_4mm_04,2,0.0,0,0
drill_4mm_04,3,0.0,0,0
drill_4mm_04,4,0.0,0,0
drill_4mm_04,5,0.0,0,0
drill_4mm_04,6,0.0,0,0
drill_4mm_04,7,0.0,0,0
drill_4mm_04,8,0.0,0,0
drill_4mm_04,9,0.0,0,0
drill_4mm_04,10,1.4363906383514404,0,0
drill_4mm_04,11,3.391864061355591,0,0
drill_4mm_04,12,4.225558757781982,0,0
drill_4mm_04,13,4.335525989532471,0,0
drill_4mm_04,14,7.560032844543457,0,0
drill_4mm_04,15,8.513633728027344,0,0
drill_4mm_04,16,10.374723434448242,0,0
drill_4mm_04,17,12.910867691040039,0,0
drill_4mm_04,18,13.220612525939941,1,0
drill_4mm_04,19,14.854887008666992,1,0
drill_4mm_04,20,15.605834007263184,1,0
drill_4mm_04,21,26.629880905151367,1,0
drill_4mm_04,22,16.787063598632812,1,0
drill_4mm_04,23,16.724273681640625,1,0
drill_4mm_04,24,16.733718872070312,1,0
drill_4mm_04,25,20.217330932617188,1,0
drill_4mm_04,26,16.19276237487793,1,0
drill_4mm_04,27,15.728089332580566,1,0
drill_4mm_04,28,15.506426811218262,1,0
drill_4mm_04,29,15.891866683959961,1,0
drill_4mm_04,30,14.1842679977417,1,0
drill_4mm_04,31,12.291020393371582,1,0
drill_4mm_04,32,11.332870483398438,1,0
drill_4mm_04,33,10.345077514648438,1,0
drill_4mm_04,34,9.348276138305664,1,0
drill_4mm_04,35,8.255399703979492,1,0
drill_4mm_04,36,7.03396463394165,1,0
drill_4mm_04,37,6.6193766593933105,1,0
drill_4mm_04,38,6.265313625335693,1,0
drill_4mm_04,39,10.349855422973633,1,0
drill_4mm_04,40,6.891645908355713,1,0
drill_4mm_04,41,7.489556789398193,1,0
drill_4mm_04,42,8.7741117477417,1,1
drill_4mm_04,43,9.970447540283203,1,1
drill_4mm_04,44,10.995807647705078,1,1
drill_4mm_04,45,28.986658096313477,1,1
drill_4mm_04,46,15.451029777526855,1,1
