drill,hole,score,prediction,label
drill_4mm_04,1,0.003386221593245864,0,0
drill_4mm_04,2,0.002915928838774562,0,0
drill_4mm_04,3,0.0020392662845551968,0,0
drill_4mm_04,4,0.0021555894054472446,0,0
drill_4mm_04,5,0.002388558816164732,0,0
drill_4mm_04,6,0.003618919523432851,0,0
drill_4mm_04,7,0.006241368595510721,0,0
drill_4mm_04,8,0.0049593523144721985,0,0
drill_4mm_04,9,0.0034426830243319273,0,0
drill_4mm_04,10,0.003762084525078535,0,0
drill_4mm_04,11,0.0011457288637757301,0,0
drill_4mm_04,12,0.0010902653448283672,0,0
drill_4mm_04,13,0.004269693978130817,0,0
drill_4mm_04,14,0.0011656921124085784,0,0
drill_4mm_04,15,0.0020503189880400896,0,0
drill_4mm_04,16,0.002944080624729395,0,0
drill_4mm_04,17,0.001679302891716361,0,0
drill_4mm_04,18,0.00335469632409513,0,0
drill_4mm_04,19,0.003923267126083374,0,0
drill_4mm_04,20,0.001440402353182435,0,0
drill_4mm_04,21,0.003148753196001053,0,0
drill_4mm_04,22,0.0012838690308853984,0,0
drill_4mm_04,23,0.0018282657256349921,0,0
drill_4mm_04,24,0.001635876134969294,0,0
drill_4mm_04,25,0.0052285343408584595,0,0
drill_4mm_04,26,0.0017765825614333153,0,0
drill_4mm_04,27,0.0017959524411708117,0,0
drill_4mm_04,28,0.006730454042553902,0,0
drill_4mm_04,29,0.0035093396436423063,0,0
drill_4mm_04,30,0.017235830426216125,0,0
drill_4mm_04,31,0.08001360297203064,0,0
drill_4mm_04,32,0.0018582828342914581,0,0
drill_4mm_04,33,0.006316181272268295,0,0
drill_4mm_04,34,0.00227520358748734,0,0
drill_4mm_04,35,0.003682362614199519,0,0
drill_4mm_04,36,0.003172729630023241,0,0
drill_4mm_04,37,0.0021509758662432432,0,0
drill_4mm_04,38,0.005569748114794493,0,0
drill_4mm_04,39,0.6390237808227539,0,0
drill_4mm_04,40,0.012093587778508663,0,0
drill_4mm_04,41,0.002089868765324354,0,0
drill_4mm_04,42,0.0022135241888463497,0,1
drill_4mm_04,43,0.005315741524100304,0,1
drill_4mm_04,44,0.00736622978001833,0,1
drill_4mm_04,45,0.003684852970764041,0,1
drill_4mm_04,46,0.0016348548233509064,0,1
drill_4mm_04,47,0.004742390010505915,0,1
drill_4mm_04,48,0.006488703191280365,0,1
drill_4mm_04,49,0.9585834741592407,0,1
drill_4mm_04,50,0.25595468282699585,1,1
drill_4mm_04,51,0.0032509551383554935,0,1
drill_4mm_05,1,0.014046341180801392,0,0
drill_4mm_05,2,0.0009107756777666509,0,0
drill_4mm_05,3,0.0005238211597315967,0,0
drill_4mm_05,4,0.0016300310380756855,0,0
drill_4mm_05,5,0.0025786515325307846,0,0
drill_4mm_05,6,0.002804179908707738,0,0
drill_4mm_05,7,0.0015455716056749225,0,0
drill_4mm_05,8,0.003972781356424093,0,0
drill_4mm_05,9,0.004700027406215668,0,0
drill_4mm_05,10,0.007883763872087002,0,0
drill_4mm_05,11,0.005138165317475796,0,0
drill_4mm_05,12,0.0033755216281861067,0,0
drill_4mm_05,13,0.01589660905301571,0,0
drill_4mm_05,14,0.003291868604719639,0,0
drill_4mm_05,15,0.015967542305588722,0,0
drill_4mm_05,16,0.02289387583732605,0,0
drill_4mm_05,17,0.04607454314827919,0,0
drill_4mm_05,18,0.03071824088692665,0,0
drill_4mm_05,19,0.07671667635440826,0,0
drill_4mm_05,20,0.08241835981607437,0,0
drill_4mm_05,21,0.02512575313448906,0,0
drill_4mm_05,22,0.014226002618670464,0,0
drill_4mm_05,23,0.00284496508538723,0,0
drill_4mm_05,24,0.015427717007696629,0,0
drill_4mm_05,25,0.009444061666727066,0,0
drill_4mm_05,26,0.0037237086798995733,0,0
drill_4mm_05,27,0.007085017394274473,0,0
drill_4mm_05,28,0.0045857857912778854,0,0
drill_4mm_05,29,0.013080433942377567,0,0
drill_4mm_05,30,0.013124123215675354,0,0
drill_4mm_05,31,0.03938741236925125,0,0
drill_4mm_05,32,0.007951662875711918,0,0
drill_4mm_05,33,0.019807009026408195,0,0
drill_4mm_05,34,0.007548673544079065,0,0
drill_4mm_05,35,0.02065434493124485,0,0
drill_4mm_05,36,0.005726884119212627,0,0
