drill,hole,score,prediction,label
drill_4mm_04,1,0.004892190918326378,0,0
drill_4mm_04,2,0.005180407781153917,0,0
drill_4mm_04,3,0.005025971680879593,0,0
drill_4mm_04,4,0.004837577696889639,0,0
drill_4mm_04,5,0.005784665234386921,0,0
drill_4mm_04,6,0.003942938055843115,0,0
drill_4mm_04,7,0.005904420744627714,0,0
drill_4mm_04,8,0.006111031863838434,0,0
drill_4mm_04,9,0.006982689257711172,0,0
drill_4mm_04,10,0.0036904748994857073,0,0
drill_4mm_04,11,0.002594713354483247,0,0
drill_4mm_04,12,0.0021492182277143,0,0
drill_4mm_04,13,0.003078046254813671,0,0
drill_4mm_04,14,0.0016864655772224069,0,0
drill_4mm_04,15,0.003745545167475939,0,0
drill_4mm_04,16,0.004453615751117468,0,0
drill_4mm_04,17,0.0025057694874703884,0,0
drill_4mm_04,18,0.005530830007046461,0,0
drill_4mm_04,19,0.004223016556352377,0,0
drill_4mm_04,20,0.0030287059489637613,0,0
drill_4mm_04,21,0.005056887865066528,0,0
drill_4mm_04,22,0.002458141651004553,0,0
drill_4mm_04,23,0.0034087460953742266,0,0
drill_4mm_04,24,0.0018916999688372016,0,0
drill_4mm_04,25,0.006483240053057671,0,0
drill_4mm_04,26,0.0025804536417126656,0,0
drill_4mm_04,27,0.0028194484766572714,0,0
drill_4mm_04,28,0.0069074188359081745,0,0
drill_4mm_04,29,0.011860203929245472,0,0
drill_4mm_04,30,0.02177049033343792,0,0
drill_4mm_04,31,0.08712446689605713,0,0
drill_4mm_04,32,0.005602359306067228,0,0
drill_4mm_04,33,0.005149678327143192,0,0
drill_4mm_04,34,0.004168733488768339,0,0
drill_4mm_04,35,0.007450837176293135,0,0
drill_4mm_04,36,0.005453289952129126,0,0
drill_4mm_04,37,0.0063197375275194645,0,0
drill_4mm_04,38,0.007339389529079199,0,0
drill_4mm_04,39,0.6492072343826294,0,0
drill_4mm_04,40,0.03556616231799126,0,0
drill_4mm_04,41,0.007385085336863995,0,0
drill_4mm_04,42,0.0029285538475960493,0,1
drill_4mm_04,43,0.0034781612921506166,0,1
drill_4mm_04,44,0.011929520405828953,0,1
drill_4mm_04,45,0.006206375081092119,0,1
drill_4mm_04,46,0.0024267397820949554,0,1
drill_4mm_04,47,0.01232602447271347,0,1
drill_4mm_04,48,0.00462720962241292,0,1
drill_4mm_04,49,0.9612233638763428,0,1
drill_4mm_04,50,0.22512444853782654,1,1
drill_4mm_04,51,0.002123861340805888,0,1
drill_4mm_05,1,0.02709110639989376,0,0
drill_4mm_05,2,0.0010292987572029233,0,0
drill_4mm_05,3,0.0005670143291354179,0,0
drill_4mm_05,4,0.0011791993165388703,0,0
drill_4mm_05,5,0.0019577827770262957,0,0
drill_4mm_05,6,0.0015370446490123868,0,0
drill_4mm_05,7,0.0009550192044116557,0,0
drill_4mm_05,8,0.006891164928674698,0,0
drill_4mm_05,9,0.005023382604122162,0,0
drill_4mm_05,10,0.011722312308847904,0,0
drill_4mm_05,11,0.005026806145906448,0,0
drill_4mm_05,12,0.004507406614720821,0,0
drill_4mm_05,13,0.013348916545510292,0,0
drill_4mm_05,14,0.002632875693961978,0,0
drill_4mm_05,15,0.03898316249251366,0,0
drill_4mm_05,16,0.013431590050458908,0,0
drill_4mm_05,17,0.15434624254703522,0,0
drill_4mm_05,18,0.027138464152812958,0,0
drill_4mm_05,19,0.04918161407113075,0,0
drill_4mm_05,20,0.04020427539944649,0,0
drill_4mm_05,21,0.10128312557935715,0,0
drill_4mm_05,22,0.027148883789777756,0,0
drill_4mm_05,23,0.0033337208442389965,0,0
drill_4mm_05,24,0.0613633394241333,0,0
drill_4mm_05,25,0.025841491296887398,0,0
drill_4mm_05,26,0.00473032845184207,0,0
drill_4mm_05,27,0.021364888176321983,0,0
drill_4mm_05,28,0.006375403609126806,0,0
drill_4mm_05,29,0.029648730531334877,0,0
drill_4mm_05,30,0.03313377499580383,0,0
drill_4mm_05,31,0.03147805482149124,0,0
drill_4mm_05,32,0.0167042575776577,0,0
drill_4mm_05,33,0.05326072871685028,0,0
drill_4mm_05,34,0.019941873848438263,0,0
drill_4mm_05,35,0.045294396579265594,0,0
drill_4mm_05,36,0.02619507908821106,0,0
drill_4mm_05,37,0.003991872537881136,0,0
drill_4mm_05,38,0.008689891546964645,0,0
drill_4mm_05,39,0.033996932208538055,0,0
drill_4mm_05,40,0.21967960894107819,0,0
