drill,hole,prob_xgb,label_real,threshold_xgb,prediction,drill_lead_time
drill_4mm_04_batch_00_collet_1_30-01-2025,1,0.007937292,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,2,0.010885018,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,3,0.015220022,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,4,0.008939196,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,5,0.0072327876,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,6,0.00578117,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,7,0.0070145484,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,8,0.006178416,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,9,0.006466139,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,10,0.0043552015,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,11,0.006235182,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,12,0.0025386673,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,13,0.005390038,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,14,0.0038607386,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,15,0.0024002164,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,16,0.0031673622,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,17,0.003016862,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,18,0.0038462856,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,19,0.0026147035,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,20,0.006516233,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,21,0.0057728225,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,22,0.0032810548,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,23,0.0066602756,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,24,0.0059166923,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,25,0.0026083891,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,26,0.0031286012,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,27,0.003403473,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,28,0.0039356803,0,0.1,0,0
drill_4mm_04_batch_00_collet_1_30-01-2025,29,0.003240972,0,0.1,0,0
