drill,hole,hybrid_mse,prediction,label
drill_4mm_01,1,0.0,0,0
drill_4mm_01,2,0.0,0,0
drill_4mm_01,3,0.0,0,0
drill_4mm_01,4,0.0,0,0
drill_4mm_01,5,0.0,0,0
drill_4mm_01,6,0.0,0,0
drill_4mm_01,7,0.0,0,0
drill_4mm_01,8,0.0,0,0
drill_4mm_01,9,0.0,0,0
drill_4mm_01,10,1.5148754119873047,0,0
drill_4mm_01,11,1.9409511089324951,0,0
drill_4mm_01,12,2.814638376235962,0,0
drill_4mm_01,13,3.892946720123291,0,0
drill_4mm_01,14,5.2420172691345215,0,0
drill_4mm_01,15,6.3804426193237305,0,0
drill_4mm_01,16,7.294020175933838,0,0
drill_4mm_01,17,8.211504936218262,0,0
drill_4mm_01,18,9.134323120117188,1,0
drill_4mm_01,19,10.41395092010498,1,0
drill_4mm_01,20,11.967122077941895,1,0
drill_4mm_01,21,14.07079029083252,1,0
drill_4mm_01,22,18.52236557006836,1,0
drill_4mm_01,23,13.618891716003418,1,0
drill_4mm_01,24,15.795809745788574,1,0
drill_4mm_01,25,24.834640502929688,1,0
drill_4mm_01,26,23.748023986816406,1,0
drill_4mm_01,27,12.422775268554688,1,0
drill_4mm_01,28,14.962242126464844,1,0
drill_4mm_01,29,10.671451568603516,1,0
drill_4mm_01,30,29.091968536376953,1,0
drill_4mm_01,31,26.789743423461914,1,0
drill_4mm_01,32,18.46441078186035,1,0
drill_4mm_01,33,16.098833084106445,1,0
drill_4mm_01,34,14.636791229248047,1,0
drill_4mm_01,35,11.689611434936523,1,0
drill_4mm_01,36,8.923333168029785,1,0
drill_4mm_01,37,7.548186302185059,1,0
drill_4mm_01,38,5.8248186111450195,1,0
drill_4mm_01,39,6.5472917556762695,1,0
drill_4mm_01,40,6.181717395782471,1,0
drill_4mm_01,41,5.913398742675781,1,0
drill_4mm_01,42,6.650542259216309,1,1
drill_4mm_01,43,7.341553688049316,1,1
drill_4mm_01,44,8.692293167114258,1,1
drill_4mm_01,45,9.691070556640625,1,1
drill_4mm_01,46,10.58869743347168,1,1
drill_4mm_01,47,11.65827751159668,1,1
drill_4mm_01,48,13.620573043823242,1,1
drill_4mm_01,49,15.978106498718262,1,1
drill_4mm_01,50,18.021074295043945,1,1
drill_4mm_01,51,18.93170166015625,1,1
drill_4mm_02,1,0.0,0,0
drill_4mm_02,2,0.0,0,0
drill_4mm_02,3,0.0,0,0
drill_4mm_02,4,0.0,0,0
drill_4mm_02,5,0.0,0,0
drill_4mm_02,6,0.0,0,0
drill_4mm_02,7,0.0,0,0
drill_4mm_02,8,0.0,0,0
drill_4mm_02,9,0.0,0,0
drill_4mm_02,10,0.9284493327140808,0,0
drill_4mm_02,11,1.024477243423462,0,0
drill_4mm_02,12,1.8678621053695679,0,0
drill_4mm_02,13,2.4511916637420654,0,0
drill_4mm_02,14,5.092343807220459,0,0
drill_4mm_02,15,6.070431709289551,0,0
drill_4mm_02,16,6.944647312164307,0,0
drill_4mm_02,17,6.6163411140441895,0,0
drill_4mm_02,18,7.819741249084473,1,0
drill_4mm_02,19,8.426156997680664,1,0
drill_4mm_02,20,8.675824165344238,1,0
drill_4mm_02,21,10.290748596191406,1,0
drill_4mm_02,22,10.433384895324707,1,0
drill_4mm_02,23,13.061158180236816,1,0
drill_4mm_02,24,13.554262161254883,1,0
drill_4mm_02,25,14.153889656066895,1,0
drill_4mm_02,26,13.130661964416504,1,0
drill_4mm_02,27,14.121463775634766,1,0
drill_4mm_02,28,15.341736793518066,1,0
drill_4mm_02,29,12.250381469726562,1,0
drill_4mm_02,30,12.348051071166992,1,0
drill_4mm_02,31,32.12723922729492,1,0
drill_4mm_02,32,13.88876724243164,1,0
drill_4mm_02,33,52.87538146972656,1,0
drill_4mm_02,34,12.94275951385498,1,0
drill_4mm_02,35,22.79890251159668,1,0
drill_4mm_02,36,19.15191078186035,1,0
drill_4mm_02,37,11.038620948791504,1,0
drill_4mm_02,38,12.328411102294922,1,0
drill_4mm_02,39,8.652518272399902,1,0
drill_4mm_02,40,11.849974632263184,1,0
drill_4mm_02,41,13.897335052490234,1,0
drill_4mm_02,42,17.671703338623047,1,0
drill_4mm_02,43,18.56805419921875,1,0
drill_4mm_02,44,23.50545883178711,1,0
drill_4mm_02,45,23.3326358795166,1,0
drill_4mm_02,46,20.655960083007812,1,0
drill_4mm_02,47,22.074609756469727,1,0
drill_4mm_02,48,20.074644088745117,1,0
drill_4mm_02,49,20.904085159301758,1,0
drill_4mm_02,50,19.150894165039062,1,0
drill_4mm_02,51,25.369253158569336,1,0
drill_4mm_02,52,22.040361404418945,1,0
drill_4mm_02,53,23.56454849243164,1,0
drill_4mm_02,54,24.84718132019043,1,0
drill_4mm_02,55,24.223154067993164,1,0
drill_4mm_02,56,28.128929138183594,1,0
drill_4mm_02,57,30.56966781616211,1,0
drill_4mm_02,58,35.25712203979492,1,0
drill_4mm_02,59,39.62229537963867,1,0
drill_4mm_02,60,33.8445930480957,1,0
drill_4mm_02,61,61.87141418457031,1,0
drill_4mm_02,62,61.04903793334961,1,0
drill_4mm_02,63,68.0359115600586,1,0
drill_4mm_02,64,90.74856567382812,1,0
drill_4mm_02,65,79.83847045898438,1,0
drill_4mm_02,66,99.51262664794922,1,0
drill_4mm_02,67,94.08535766601562,1,0
drill_4mm_02,68,135.01803588867188,1,0
drill_4mm_02,69,133.01223754882812,1,0
drill_4mm_02,70,168.24659729003906,1,0
drill_4mm_02,71,253.1791534423828,1,0
drill_4mm_02,72,210.17466735839844,1,0
drill_4mm_02,73,273.69268798828125,1,0
drill_4mm_02,74,287.1832580566406,1,0
drill_4mm_02,75,334.5159912109375,1,0
drill_4mm_02,76,356.15313720703125,1,0
drill_4mm_02,77,332.9935302734375,1,0
drill_4mm_02,78,352.3598937988281,1,0
drill_4mm_02,79,337.7174987792969,1,0
drill_4mm_02,80,335.61273193359375,1,0
drill_4mm_02,81,360.49560546875,1,0
drill_4mm_02,82,317.3583984375,1,0
drill_4mm_02,83,319.75775146484375,1,0
drill_4mm_02,84,363.49658203125,1,0
drill_4mm_02,85,377.6300354003906,1,0
drill_4mm_02,86,445.35955810546875,1,1
drill_4mm_02,87,354.4237976074219,1,1
drill_4mm_02,88,447.5783996582031,1,1
drill_4mm_02,89,573.7415771484375,1,1
drill_4mm_02,90,278.7275085449219,1,1
drill_4mm_02,91,185.5123291015625,1,1
